Doctor Name,Category
Dr. Velmurugan Deisingh,Anesthesiology
Dr. Murali Magesh Venugopal,Anesthesiology
Dr. Karthick Raja Velayutham,Anesthesiology
Dr. I. Hemalatha,Anesthesiology
Dr. K. Mahalakshmi,Anesthesiology
Dr. K. Senthil Kumar,Anesthesiology
Dr. P. Sasi Kumar,Anesthesiology
Dr. S. Khaja Mohideen,Anesthesiology
Dr. K. Akila,Anesthesiology
Dr. K. Senthil Kumar,Anesthesiology
Dr. P. Sasi Kumar,Anesthesiology
Dr. Mohamed Eliyas,Anesthesiology
Dr. K. S. Sreenivas,Anesthesiology
Dr. Gayathri Krishna Reddy,Anesthesiology
Dr. Balamurugan K,Anesthesiology
Dr. T. Shanmugapriya,Anesthesiology
Dr. Gautham Prabhu,Anesthesiology
Dr. S. Inbarasu,Anesthesiology
Dr. Lakshmanan,Anesthesiology
Dr. Madhan Kumar Rathinasabapathi,Anesthesiology
Dr. Nirmal Kumar,Anesthesiology
Dr. Indu Priyadarshini,Anesthesiology
Dr. Vinita Keshri,Anesthesiology
Dr. Alankrita Chari,Anesthesiology
Dr. Yokasekar V,Anesthesiology
Dr. M. Krishnakumar,Anesthesiology
Dr. Sai Somasundhaar. S,Anesthesiology
Dr. Karthik P,Anesthesiology
Dr. Selvi Mahalingam,Anesthesiology
Dr. Jamila Khatoon,Anesthesiology
Dr. N. Sridhar,Critical Care
Dr. Vetriselvan P,Critical Care
Dr. R. Nithiyanandan,Critical Care
Dr. Vijaya Kumar,Critical Care
Dr. P. Saravana Kumar,Critical Care
Dr. C. M. Sathosam,Critical Care
Dr. V. Thaddaeu,Critical Care
Dr. V. Saranya,Critical Care
Dr. K. Vigneshwaran,Critical Care
Dr. Ivan A. Jones,Critical Care
Dr. Ramanathan Kannan Suppiah,Critical Care
Dr. Buddhan Rajarathinam,Critical Care
Dr. S. Chitralekha,Critical Care
Dr. Sinduja M,Critical Care
Dr. B. Karuppiah,Critical Care
Dr. V. Ramu,Critical Care
Dr. S. Mubarak Ali,Critical Care
Dr. Keshava Balaji,Critical Care
Dr. Arun Sathish,Critical Care
Dr. Manikandan Ramanathan,Dental
Dr. U. Rakesh,Dental
Dr. Preeti l. Anand,Dental
Dr. V. Iyappan Shankar,Dental
Dr. S. Elangovan,Dental
Dr. M. Raj Mohan,Dental
Dr. D. Abhishek Johnson Babu,Dental
Dr. Abby Abraham,Dental
Dr. Gokul,Dental
Dr. Shanthi,Dental
Dr. S. Thayumanavan,Dental
Dr. C. Kasthuri,Dental
Dr. M. Balaji,Dental
Dr. K. Saravanan,Dental
Dr. Vijayalakshmi P,Dental
Dr. Vijay Kartik,Dermatology
Dr. Ashiq Mohamed,Dermatology
Dr. V. Madhumitha,Dermatology
Dr. M. Shoba,Dermatology
Dr Poornima Andal P,Dermatology
Dr. Pravin Vinil Raja,Dermatology
Dr. Anil Chandra,Ophthalmology
Dr. Sudha Bhuvaneshwari,Ophthalmology
Dr. Vinitha Rachel Philip,Ophthalmology
Dr. Sri ram,Ophthalmology
Dr. J. Radha,Ophthalmology
Dr. Bharath Ramji,Endocrinology
Dr. Dhalapathy Sadacharan,Endocrinology
Dr. Vignesh,Endocrinology
Dr. S. Sivaprakash,Endocrinology
Dr. Preethi. P,Ent
Dr. Niraj Kumar Joshi,Ent
Dr. Deepika M Vijai,Ent
Dr. Kavya Murali,Ent
Dr. M. Hari Meyyappan,Ent
Dr. R. Hariprasad,Ent
Dr. M. Vijayakumar,Ent
Dr. R. Anbuchezian,Ent
Dr. K. Mahendran,Ent
Dr. S. Suresh Kumar,Ent
Dr. R. Hariprasad,Ent
Dr. M. Vijayakumar,Ent
Dr. Vinothan,Ent
Dr. D. Jyoti basu,General Surgery
Dr. Muralidharan Parthasarathy,General Surgery
Dr. R. Sumathi Ravikumar,General Surgery
Dr. P. V. Dhanapal,General Surgery
Dr. K. S. Ashoke Prakaash,General Surgery
Dr Santhi,General Surgery
Dr Sumanth Srivatsan,General Surgery
Dr. Thilagavathy,Laboratory Services
Velvizhi,Laboratory Services
Dr Meenachi Chidambaram,Laboratory Services
Dr. T. S. Sabeeha,Obstetrics
Dr. Meena Umachander Thiagarajan,Obstetrics
Dr. N. Suchitra,Obstetrics
Dr. E. Elavarasi,Obstetrics
Dr. N. Suchitra,Obstetrics
Dr. K. Birundha,Obstetrics
Dr. T. S. Neeraja,Obstetrics
Dr. P. Sathya Sudhakar,Obstetrics
Dr. S. S. Subha,Obstetrics
Dr. Deepika Gajendiran,Obstetrics
Dr. Anitha,Obstetrics
Dr. P. M. Gopinath,Obstetrics
Dr. Sahityalakshmi Manoharan,Obstetrics
Dr. Madhumathi D,Obstetrics
Dr. V. Uma Maheswari,Obstetrics
Dr. M. Sudha shanthi,Obstetrics
Dr. S. Subasini,Obstetrics
Dr. M. Sudha shanthi,Obstetrics
Dr. Sindhuja B,Obstetrics
Dr. T. Siraj Fathima,Obstetrics
Dr Madhura Vilas Joshi,Obstetrics
Dr. Sujatha Velmurugan,Psychiatry
Dr. Yamini Kannappan,Psychiatry
Dr. Padmini Deepak,Psychiatry
Dr. S. R. Nirmal,Psychiatry
Dr. A. Geetha,Psychiatry
Dr. Singaravelu Thiyagarajan,Psychiatry
Dr. V. Kandasamy,Psychiatry
Dr. M. B. Abdul Rahuman,Psychiatry
Dr. G. Ramanujam,Psychiatry
Dr. Sunitha M,Psychiatry
Dr. M. Vetrivel,Psychiatry
Dr. Mohamed Naveeth,Psychiatry
Dr. Panchapakesa Rajendran Bava P. Chokkappa,Rheumatology
Dr. S. Sham,Rheumatology
Dr. B. Senthilkumar,Rheumatology
Dr. Pradeep Kumar,Rheumatology
Dr. S. Vidya,Rheumatology
"Dr C Panchapakesa Rajendran,",Rheumatology
Dr. Nikhila G S,Rheumatology
